src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.100.135,192.168.100.122,35700,80,6,2025-08-04 21:02:50,0.101043,14815.474599922805,108.86454281840405,69.2774363389844,39.58710647941965,7,4,656,841,244,66,93.71428571428571,61.45315122854456,635,66,210.25,245.2512742066797,635,66,136.0909090909091,165.5835161676617,27417.90082644629,140,80,20,1,0.0101043,0.050095,0.0,0.019946626311484358,0.101043,0.050095,0.0,0.016840499999999998,0.02344577341263595,0.10065,0.050298,0.00023,0.03355,0.023560907509403508,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,136.0909090909091,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.71428571428571,210.25,0,7,4,656,841
192.168.100.135,192.168.100.122,35706,80,6,2025-08-04 21:02:50,21.001332,97.51762412022246,0.9047045206465951,0.47616027402452377,0.42854424662207136,10,9,964,1084,242,66,96.4,50.261715052313924,548,66,120.44444444444444,151.1842960033372,548,66,107.78947368421052,110.90801259430145,12300.58725761773,200,180,20,5,1.1667406666666666,5.931395,0.0,2.0795015992352592,21.001323,5.931484,0.0,2.3334803333333336,2.434401295679905,21.00128,5.93141,1.6e-05,2.62516,2.4292424534008537,5,1,0,0,2,3,0,6,17,0,0,0.9,107.78947368421052,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.4,120.44444444444444,0,10,9,964,1084
192.168.100.135,192.168.100.122,35720,80,6,2025-08-04 21:02:50,20.95114,97.17848288923658,0.906871893367139,0.4773009965090205,0.4295708968581185,10,9,952,1084,242,66,95.2,50.346400069915624,548,66,120.44444444444444,151.1842960033372,548,66,107.15789473684211,110.99467182939564,12319.817174515236,200,180,20,5,1.163952222222222,5.881119,0.0,2.0731225184091686,20.951134,5.8812,0.0,2.327903777777778,2.4261721374206267,20.951097999999998,5.881148,8e-06,2.6188872499999993,2.420730566520557,5,1,0,0,2,3,0,6,17,0,0,0.9,107.15789473684211,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.2,120.44444444444444,0,10,9,952,1084
192.168.100.135,192.168.100.122,35724,80,6,2025-08-04 21:02:50,20.900866,97.93852560941733,0.909053242100112,0.47844907478953264,0.4306041673105794,10,9,963,1084,242,66,96.3,50.117960852373066,548,66,120.44444444444444,151.1842960033372,548,66,107.73684210526316,110.87918608024309,12294.193905817172,200,180,20,5,1.1611592222222222,5.830648,0.0,2.0667521038531165,20.90085,5.830725,0.0,2.3223166666666666,2.4179753028270023,20.900824,5.830684,1.6e-05,2.612603,2.412239787543674,5,1,0,0,2,3,0,6,17,0,0,0.9,107.73684210526316,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.3,120.44444444444444,0,10,9,963,1084
192.168.100.135,192.168.100.122,35734,80,6,2025-08-04 21:02:50,20.850336,98.75140621235073,0.9112562982198464,0.47960857801044554,0.43164772020940095,10,9,975,1084,242,66,97.5,49.97249243333776,548,66,120.44444444444444,151.1842960033372,548,66,108.36842105263158,110.7810598130222,12272.443213296401,200,180,20,5,1.158352,5.780458,0.0,2.060489993706325,20.850329,5.780499,0.0,2.3167032222222224,2.409958913263081,20.850288000000003,5.780502,1.7e-05,2.606286,2.403965670722234,5,1,0,0,2,3,0,6,17,0,0,0.9,108.36842105263158,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.5,120.44444444444444,0,10,9,975,1084
192.168.100.135,192.168.100.122,35744,80,6,2025-08-04 21:02:50,20.800118,98.46097988482565,0.913456356353363,0.4807665033438752,0.4326898530094877,10,9,964,1084,242,66,96.4,50.41071314710793,548,66,120.44444444444444,151.1842960033372,548,66,107.78947368421052,110.94359825812319,12308.481994459835,200,180,20,5,1.1555621111111112,5.73037,0.0,2.054269707095765,20.800103,5.730382,0.0,2.3111225555555555,2.4020049279510975,20.800098,5.730421,3.7e-05,2.6000122500000002,2.3957567689032913,5,1,0,0,2,3,0,6,17,0,0,0.9,107.78947368421052,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.4,120.44444444444444,0,10,9,964,1084
192.168.100.135,192.168.100.122,35756,80,6,2025-08-04 21:02:50,20.750096,97.58990994547688,0.9156584143032399,0.4819254812122315,0.43373293309100835,10,9,941,1084,242,66,94.1,50.62104305523545,548,66,120.44444444444444,151.1842960033372,548,66,106.57894736842105,111.12407280507092,12348.559556786704,200,180,20,5,1.152783111111111,5.679976,0.0,2.048045747356649,20.750092,5.680014,0.0,2.305565777777778,2.3940402592554135,20.750072,5.680034,7e-06,2.5937590000000004,2.387525715977422,5,1,0,0,2,3,0,6,17,0,0,0.9,106.57894736842105,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.1,120.44444444444444,0,10,9,941,1084
192.168.100.135,192.168.100.122,35760,80,6,2025-08-04 21:02:50,20.699698,100.5328676775864,0.9178877875416346,0.48309883554822874,0.43478895199340584,10,9,997,1084,242,66,99.7,50.321069146034645,548,66,120.44444444444444,151.1842960033372,548,66,109.52631578947368,110.75595192325599,12266.880886426592,200,180,20,5,1.1499832222222222,5.629638,0.0,2.041889702568148,20.699687,5.629718,0.0,2.299965222222222,2.386214856604296,20.699678,5.629702,3.5e-05,2.58745975,2.379452061532589,5,1,0,0,2,3,0,6,17,0,0,0.9,109.52631578947368,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.7,120.44444444444444,0,10,9,997,1084
192.168.100.135,192.168.100.122,35762,80,6,2025-08-04 21:02:50,20.649349,99.71258658081666,0.9201258596578517,0.48427676824097454,0.4358490914168771,10,9,975,1084,242,66,97.5,50.19611538754767,548,66,120.44444444444444,151.1842960033372,548,66,108.36842105263158,110.8342577318972,12284.232686980613,200,180,20,5,1.1471860555555555,5.579183,0.0,2.035753832211069,20.649344,5.579273,0.0,2.2943715555555557,2.378421900083102,20.649303,5.579252,1.8e-05,2.5811628750000004,2.3714158591198973,5,1,0,0,2,3,0,6,17,0,0,0.9,108.36842105263158,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.5,120.44444444444444,0,10,9,975,1084
192.168.100.135,192.168.100.122,35776,80,6,2025-08-04 21:02:50,20.647843,99.6714281486933,0.9201929712464396,0.48431209012970505,0.4358808811167345,10,9,974,1084,242,66,97.4,50.22389869374937,548,66,120.44444444444444,151.1842960033372,548,66,108.3157894736842,110.8460538108117,12286.847645429363,200,180,20,5,1.147102388888889,5.528769,0.0,2.029534128021944,20.647826,5.528843,0.0,2.2942028888888886,2.3678053493973152,20.647797999999998,5.528777,2.5e-05,2.5809747499999998,2.3594649453297536,5,1,0,0,2,3,0,6,17,0,0,0.9,108.3157894736842,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.4,120.44444444444444,0,10,9,974,1084
