src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,proto_num,norm_key,norm_ts,label
192.168.100.122,192.168.100.135,80,57020,6,2025-08-05 02:27:20,0.000334,4592814.371257485,17964.071856287424,8982.035928143712,8982.035928143712,3,3,1336,198,635,66,445.3333333333333,268.229172330097,66,66,66.0,0.0,635,66,255.66666666666666,268.229172330097,71946.88888888889,60,60,20,2,6.68e-05,0.000186,0.0,6.452100433192279e-05,0.000274,0.000274,0.0,0.000137,0.000137,0.00014800000000000002,8.1e-05,6.7e-05,7.400000000000001e-05,7.000000000000001e-06,2,0,0,0,2,0,0,2,6,0,0,1.0,255.66666666666666,508,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445.3333333333333,66.0,0,3,3,1336,198,6,"('192.168.100.122', '80', '192.168.100.135', '57020', '6')",2025-08-05 02:27:20,
192.168.100.135,192.168.100.122,36630,80,6,2025-08-05 02:27:23,0.001135,1300440.5286343612,9691.629955947137,6167.400881057269,3524.229074889868,7,4,635,841,223,66,90.71428571428571,54.1181624799298,635,66,210.25,245.2512742066797,635,66,134.1818181818182,164.4455246533404,27042.330578512392,140,80,20,1,0.0001135,0.000667,0.0,0.00019788494131691778,0.001135,0.00069,0.0,0.00018916666666666667,0.0002594047138267837,0.001071,0.000718,9.6e-05,0.00035699999999999995,0.00026359185622220325,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,134.1818181818182,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.71428571428571,210.25,0,7,4,635,841,6,"('192.168.100.122', '80', '192.168.100.135', '36630', '6')",2025-08-05 02:27:23,
192.168.100.135,192.168.100.122,56144,80,6,2025-08-05 02:27:23,11.001612,113.71060895439686,0.9089577054707983,0.4544788527353992,0.4544788527353992,5,5,439,812,104,66,87.8,17.893015397076034,548,66,162.4,192.8,548,66,125.1,141.90591953826308,20137.289999999997,100,100,20,3,1.2224013333333332,10.000127,0.0,3.1190529573643557,11.001602,10.000165,0.0,2.7504005,4.20556923297171,11.001574,10.000166,4.3e-05,2.7503935,4.205559705543039,3,1,0,0,2,0,0,4,10,0,0,1.0,125.1,502,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.8,162.4,0,5,5,439,812,6,"('192.168.100.122', '80', '192.168.100.135', '56144', '6')",2025-08-05 02:27:23,
192.168.100.135,192.168.100.122,56156,80,6,2025-08-05 02:27:23,11.001641,116.80075726884745,0.9089553094851941,0.45447765474259705,0.45447765474259705,5,5,473,812,119,66,94.6,24.07155998268496,548,66,162.4,192.8,548,66,128.5,141.50918698091652,20024.85,100,100,20,3,1.2224045555555554,10.000118,0.0,3.1190538379403923,11.001602,10.000165,0.0,2.7504005,4.205572626010429,11.001594,10.000166,3e-05,2.7503985,4.205565361891342,3,1,0,0,2,0,0,4,10,0,0,1.0,128.5,502,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.6,162.4,0,5,5,473,812,6,"('192.168.100.122', '80', '192.168.100.135', '56156', '6')",2025-08-05 02:27:23,
192.168.100.135,192.168.100.122,56160,80,6,2025-08-05 02:27:23,11.001722,112.52783882377688,0.9089486173164529,0.45447430865822647,0.45447430865822647,5,5,426,812,104,66,85.2,16.01749044014074,548,66,162.4,192.8,548,66,123.8,142.14133811105057,20204.159999999996,100,100,20,3,1.2224135555555555,10.00011,0.0,3.1190503144762265,11.001710000000001,10.000165,0.0,2.7504275000000002,4.2055600284983745,11.001667000000001,10.000165,1.1e-05,2.7504167500000003,4.205557594028905,3,1,0,0,2,0,0,4,10,0,0,1.0,123.8,502,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.2,162.4,0,5,5,426,812,6,"('192.168.100.122', '80', '192.168.100.135', '56160', '6')",2025-08-05 02:27:23,
192.168.100.135,192.168.100.122,56176,80,6,2025-08-05 02:27:23,11.001562,112.62037154360445,0.9089618365101246,0.4544809182550623,0.4544809182550623,5,5,427,812,123,66,85.4,20.819221887476967,548,66,162.4,192.8,548,66,123.9,142.4250329120552,20284.890000000007,100,100,20,3,1.2223957777777779,10.000104,0.0,3.1190464776607887,11.001543999999999,10.000164,0.0,2.7503859999999998,4.205578121237079,11.001502,10.000166,1.7e-05,2.7503755,4.205570703181822,3,1,0,0,2,0,0,4,10,0,0,1.0,123.9,502,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.4,162.4,0,5,5,427,812,6,"('192.168.100.122', '80', '192.168.100.135', '56176', '6')",2025-08-05 02:27:23,
192.168.100.135,192.168.100.122,56186,80,6,2025-08-05 02:27:23,11.001696,110.16483276760236,0.9089507654092605,0.4544753827046302,0.4544753827046302,5,5,400,812,100,66,80.0,12.83744522870497,548,66,162.4,192.8,548,66,121.2,142.7086542575467,20365.760000000002,100,100,20,3,1.2224106666666668,10.000097,0.0,3.119044996396778,11.001686,10.000164,0.0,2.7504215,4.205561333863382,11.001629000000001,10.000165,3.4e-05,2.7504072500000003,4.2055607711766205,3,1,0,0,2,0,0,4,10,0,0,1.0,121.2,502,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,162.4,0,5,5,400,812,6,"('192.168.100.122', '80', '192.168.100.135', '56186', '6')",2025-08-05 02:27:23,
192.168.100.135,192.168.100.122,56200,80,6,2025-08-05 02:27:23,11.001704,110.52833270191599,0.908950104456546,0.454475052228273,0.454475052228273,5,5,404,812,92,66,80.8,12.106196760337244,548,66,162.4,192.8,548,66,121.6,142.56170593816557,20323.839999999993,100,100,20,3,1.2224115555555555,10.000093,0.0,3.1190435084619947,11.001686,10.000164,0.0,2.7504215,4.205561333863382,11.001633,10.000167,1.5e-05,2.7504082499999996,4.205561782360435,3,1,0,0,2,0,0,4,10,0,0,1.0,121.6,502,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.8,162.4,0,5,5,404,812,6,"('192.168.100.122', '80', '192.168.100.135', '56200', '6')",2025-08-05 02:27:23,
192.168.100.135,192.168.100.122,56208,80,6,2025-08-05 02:27:23,11.001661,112.52846274757965,0.9089536570886887,0.45447682854434435,0.45447682854434435,5,5,426,812,112,66,85.2,17.451647486698786,548,66,162.4,192.8,548,66,123.8,142.22573606770328,20228.159999999996,100,100,20,3,1.2224067777777778,10.000087,0.0,3.1190420664205285,11.001652,10.000164,0.0,2.7504129999999996,4.205563856731639,11.001584,10.000171,2e-05,2.750396,4.205570207177083,3,1,0,0,2,0,0,4,10,0,0,1.0,123.8,502,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.2,162.4,0,5,5,426,812,6,"('192.168.100.122', '80', '192.168.100.135', '56208', '6')",2025-08-05 02:27:23,
192.168.100.135,192.168.100.122,56210,80,6,2025-08-05 02:27:23,11.001549,113.34767495013656,0.9089629105865,0.45448145529325,0.45448145529325,5,5,435,812,103,66,87.0,17.181385275931625,548,66,162.4,192.8,548,66,124.7,141.96763715720567,20154.810000000005,100,100,20,3,1.2223943333333331,10.000166,0.0,3.119067846530185,11.001517,10.000173,0.0,2.75037925,4.205582350109933,11.001541999999999,10.000174,2.4e-05,2.7503855,4.205566777470874,3,1,0,0,2,0,0,4,10,0,0,1.0,124.7,502,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.0,162.4,0,5,5,435,812,6,"('192.168.100.122', '80', '192.168.100.135', '56210', '6')",2025-08-05 02:27:23,
