src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.100.135,192.168.100.122,36140,80,6,2025-08-04 23:06:57,0.020439,76177.89520035227,538.1867997455845,342.4825089290083,195.70429081657616,7,4,716,841,304,66,102.28571428571429,82.4234957585592,635,66,210.25,245.2512742066797,635,66,141.54545454545453,169.97826793519204,28892.61157024793,140,80,20,1,0.0020439000000000004,0.009933,0.0,0.0038748209365079053,0.020439000000000002,0.009933,0.0,0.0034065000000000002,0.0045168884847130485,0.020193,0.010084,0.000311,0.006731,0.004541126805834282,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,141.54545454545453,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.28571428571429,210.25,0,7,4,716,841
192.168.100.135,192.168.100.122,36148,80,6,2025-08-04 23:06:57,21.001557,86.70785694603501,0.714232759028295,0.38092413814842396,0.333308620879871,8,7,869,952,302,66,108.625,75.32751406358769,548,66,136.0,168.22094315003025,548,66,121.4,128.13524105413,16418.640000000003,160,140,20,3,1.5001112142857147,9.999949,0.0,3.4774325714758336,21.001526000000002,9.999991,0.0,3.0002180000000003,4.436755033038706,21.00151,9.999981,2.9e-05,3.5002516666666668,4.6059943746326795,3,1,0,0,2,3,0,4,13,0,0,0.875,121.4,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.625,136.0,0,8,7,869,952
192.168.100.135,192.168.100.122,36158,80,6,2025-08-04 23:06:57,20.991461,85.98734504473033,0.7145762746099473,0.3811073464586386,0.33346892815130874,8,7,853,952,302,66,106.625,75.25778614203317,548,66,136.0,168.22094315003025,548,66,120.33333333333333,128.22358944004372,16441.288888888892,160,140,20,3,1.4993900714285715,9.99994,0.0,3.475675163446017,20.991446,9.999991,0.0,2.9987780000000006,4.434482719734834,20.991447,9.999981,1.2e-05,3.4985745,4.603631533738365,3,1,0,0,2,3,0,4,13,0,0,0.875,120.33333333333333,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.625,136.0,0,8,7,853,952
192.168.100.135,192.168.100.122,36170,80,6,2025-08-04 23:06:57,20.981406,86.45750432549659,0.7149187237499718,0.3812899859999849,0.3336287377499868,8,7,862,952,302,66,107.75,75.79866423625155,548,66,136.0,168.22094315003025,548,66,120.93333333333334,128.33054542426325,16468.728888888894,160,140,20,3,1.4986718571428572,9.999931,0.0,3.473924710067026,20.981396999999998,9.999991,0.0,2.9973424285714287,4.432222629507807,20.981393,9.99998,1e-05,3.4968988333333333,4.60128164190107,3,1,0,0,2,3,0,4,13,0,0,0.875,120.93333333333334,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.75,136.0,0,8,7,862,952
192.168.100.135,192.168.100.122,36174,80,6,2025-08-04 23:06:57,20.971358,86.26050826083844,0.7152612625276819,0.381472673348097,0.33378858917958487,8,7,857,952,302,66,107.125,75.21874350851654,548,66,136.0,168.22094315003025,548,66,120.6,128.1830982098134,16430.906666666666,160,140,20,3,1.4979541428571428,9.999923,0.0,3.472163996700285,20.971342,9.999991,0.0,2.995906,4.429951927021588,20.97134,9.999979,2.8e-05,3.4952233333333336,4.598913135160657,3,1,0,0,2,3,0,4,13,0,0,0.875,120.6,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.125,136.0,0,8,7,857,952
192.168.100.135,192.168.100.122,36188,80,6,2025-08-04 23:06:57,20.961274,86.15888518989829,0.7156053587200855,0.3816561913173789,0.3339491674027065,8,7,854,952,302,66,106.75,75.25747471181849,548,66,136.0,168.22094315003025,548,66,120.4,128.21637960884718,16439.44,160,140,20,3,1.4972338571428574,9.999917,0.0,3.470416421485794,20.96125,9.999991,0.0,2.994464285714286,4.427699153289784,20.961257,9.99998,3.6e-05,3.493542833333333,4.596569027373874,3,1,0,0,2,3,0,4,13,0,0,0.875,120.4,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.75,136.0,0,8,7,854,952
192.168.100.135,192.168.100.122,36194,80,6,2025-08-04 23:06:57,20.951236,86.3910845164457,0.7159482142246881,0.38183904758650034,0.3341091666381878,8,7,858,952,302,66,107.25,75.21760099870242,548,66,136.0,168.22094315003025,548,66,120.66666666666667,128.17574740262768,16429.02222222222,160,140,20,3,1.496516857142857,9.999909,0.0,3.468658807297896,20.951199,9.999991,0.0,2.993028428571429,4.42542708529086,20.951225,9.99998,8e-06,3.4918708333333335,4.594204189794297,3,1,0,0,2,3,0,4,13,0,0,0.875,120.66666666666667,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.25,136.0,0,8,7,858,952
192.168.100.135,192.168.100.122,36196,80,6,2025-08-04 23:06:57,20.941149,88.34281251711643,0.7162930744631061,0.38202297304698996,0.3342701014161162,8,7,898,952,302,66,112.25,75.64018442600468,548,66,136.0,168.22094315003025,548,66,123.33333333333333,128.05346105782886,16397.688888888893,160,140,20,3,1.4957963571428572,9.999901,0.0,3.4669030801889336,20.941144,9.999991,0.0,2.9915920000000003,4.423161616060523,20.94114,9.999979,3e-06,3.4901899999999997,4.5918464529845355,3,1,0,0,2,3,0,4,13,0,0,0.875,123.33333333333333,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.25,136.0,0,8,7,898,952
192.168.100.135,192.168.100.122,36210,80,6,2025-08-04 23:06:57,20.931004,86.09238238165737,0.7166402528994786,0.38220813487972194,0.3344321180197567,8,7,850,952,302,66,106.25,75.27574310493388,548,66,136.0,168.22094315003025,548,66,120.13333333333334,128.2507266602762,16448.248888888884,160,140,20,3,1.4950717142857144,9.99997,0.0,3.4651804294162236,20.930965,9.999977,0.0,2.9901378571428574,4.420930519389698,20.930998,9.999977,1.7e-05,3.4884996666666663,4.589489953945233,3,1,0,0,2,3,0,4,13,0,0,0.875,120.13333333333334,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.25,136.0,0,8,7,850,952
192.168.100.135,192.168.100.122,36222,80,6,2025-08-04 23:06:57,20.920943,85.32120182154313,0.7169848892566649,0.38239194093688794,0.334592948319777,8,7,833,952,302,66,104.125,75.79979798785746,548,66,136.0,168.22094315003025,548,66,119.0,128.54208130673265,16523.066666666666,160,140,20,3,1.4943530714285718,9.999963,0.0,3.463424714674056,20.920912,9.999977,0.0,2.9887017142857144,4.418665279528576,20.920938,9.999977,1e-05,3.4868230000000007,4.587130128943404,3,1,0,0,2,3,0,4,13,0,0,0.875,119.0,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.125,136.0,0,8,7,833,952
192.168.100.135,192.168.100.122,36238,80,6,2025-08-04 23:06:57,20.910863,86.4622373548141,0.7173305090277718,0.3825762714814783,0.3347542375462935,8,7,856,952,302,66,107.0,75.32595834106593,548,66,136.0,168.22094315003025,548,66,120.53333333333333,128.22369342502796,16441.315555555557,160,140,20,3,1.4936330714285713,9.999956,0.0,3.461666868673601,20.91085,9.999977,0.0,2.9872642857142857,4.4163931509606895,20.910859000000002,9.999978,1.3e-05,3.4851431666666666,4.584768296991042,3,1,0,0,2,3,0,4,13,0,0,0.875,120.53333333333333,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.0,136.0,0,8,7,856,952
192.168.100.135,192.168.100.122,36240,80,6,2025-08-04 23:06:57,21.479111,82.5918726338348,0.698352925314274,0.3724548935009461,0.3258980318133278,8,7,822,952,302,66,102.75,75.74917491299823,548,66,136.0,168.22094315003025,548,66,118.26666666666667,128.61283848132047,16541.262222222227,160,140,20,3,1.5342222142857145,9.99995,0.0,3.4572447184103576,21.479094,9.999977,0.0,3.068442,4.3815042209198305,21.479103000000002,9.999979,3.8e-05,3.5798505000000005,4.535020067781426,3,1,0,0,2,3,0,4,13,0,0,0.875,118.26666666666667,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.75,136.0,0,8,7,822,952
192.168.100.135,192.168.100.122,36244,80,6,2025-08-04 23:06:57,22.488189,79.2415965554185,0.6670168060220412,0.35574229654508865,0.31127450947695257,8,7,830,952,302,66,103.75,75.72441812255806,548,66,136.0,168.22094315003025,548,66,118.8,128.5416663965424,16522.96,160,140,20,3,1.6062992142857144,9.999941,0.0,3.466408562503173,22.48817,9.999977,0.0,3.2125957142857144,4.344187277389268,22.488181,9.999976,3.5e-05,3.7480301666666667,4.473284283201305,3,1,0,0,2,3,0,4,13,0,0,0.875,118.8,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.75,136.0,0,8,7,830,952
192.168.100.135,192.168.100.122,36258,80,6,2025-08-04 23:06:57,22.498041,79.65137942454633,0.6667247161652874,0.3555865152881533,0.3111382008771341,8,7,840,952,302,66,105.0,75.4204879326566,548,66,136.0,168.22094315003025,548,66,119.46666666666667,128.36970913039502,16478.782222222224,160,140,20,3,1.6070029285714287,9.999935,0.0,3.465087723757354,22.498024,9.999977,0.0,3.2140034285714285,4.341562798191251,22.498035,9.999976,3.6e-05,3.749672500000001,4.470113142975681,3,1,0,0,2,3,0,4,13,0,0,0.875,119.46666666666667,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.0,136.0,0,8,7,840,952
192.168.100.135,192.168.100.122,36262,80,6,2025-08-04 23:06:57,23.527061,76.93268615234176,0.6375636973950976,0.340033971944052,0.2975297254510455,8,7,858,952,302,66,107.25,75.23754049674936,548,66,136.0,168.22094315003025,548,66,120.66666666666667,128.18198868102422,16430.62222222222,160,140,20,3,1.6805043571428568,9.999929,0.0,3.4952177790145047,23.527044,9.999977,0.0,3.3610062857142853,4.33424551953564,23.527054,9.999976,3.9e-05,3.921175666666667,4.440667569589761,3,1,0,0,2,3,0,4,13,0,0,0.875,120.66666666666667,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.25,136.0,0,8,7,858,952
192.168.100.135,192.168.100.122,36266,80,6,2025-08-04 23:06:58,23.538665,77.36207639643115,0.637249393710306,0.3398663433121632,0.2973830503981428,8,7,869,952,302,66,108.625,75.21126494747978,548,66,136.0,168.22094315003025,548,66,121.4,128.09881602367238,16409.306666666667,160,140,20,3,1.6813332142857147,9.999924,0.0,3.4944222246166037,23.538648,9.999977,0.0,3.362664,4.33229748017354,23.53864,9.999977,2.9e-05,3.923106666666666,4.438236624497079,3,1,0,0,2,3,0,4,13,0,0,0.875,121.4,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.625,136.0,0,8,7,869,952
192.168.100.135,192.168.100.122,36272,80,6,2025-08-04 23:06:58,23.494806,76.78292810759962,0.6384389809390212,0.3405007898341446,0.2979381911048765,8,7,852,952,302,66,106.5,75.27117642231985,548,66,136.0,168.22094315003025,548,66,120.26666666666667,128.2349233070132,16444.195555555554,160,140,20,3,1.678200428571429,9.999964,0.0,3.4913093579166934,23.494786,9.999971,0.0,3.356398,4.329703243802017,23.494783,9.999971,2.9e-05,3.915797166666667,4.4361741495949865,3,1,0,0,2,3,0,4,13,0,0,0.875,120.26666666666667,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.5,136.0,0,8,7,852,952
192.168.100.135,192.168.100.122,36284,80,6,2025-08-04 23:06:58,23.467892,76.53009482061704,0.6391711705508105,0.34089129096043225,0.2982798795903782,8,7,844,952,302,66,105.5,75.7479372656444,548,66,136.0,168.22094315003025,548,66,119.73333333333333,128.44270663953202,16497.528888888886,160,140,20,3,1.6762779999999997,9.999958,0.0,3.488921475357494,23.467883,9.999971,0.0,3.352554714285714,4.327320915609885,23.467846,9.999971,3.9e-05,3.9113076666666675,4.434059262324899,3,1,0,0,2,3,0,4,13,0,0,0.875,119.73333333333333,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.5,136.0,0,8,7,844,952
192.168.100.135,192.168.100.122,36292,80,6,2025-08-04 23:06:58,24.500139,74.16284454549421,0.6122414244262042,0.3265287596939756,0.28571266473222867,8,7,865,952,302,66,108.125,75.23369840038438,548,66,136.0,168.22094315003025,548,66,121.13333333333334,128.13267429591184,16417.982222222225,160,140,20,3,1.7500099285714286,9.999952,0.0,3.538843774840317,24.50012,9.999971,0.0,3.500017142857143,4.349982495820987,24.500091,9.999971,3.5e-05,4.0833485,4.437748104965015,3,1,0,0,2,3,0,4,13,0,0,0.875,121.13333333333334,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.125,136.0,0,8,7,865,952
192.168.100.135,192.168.100.122,36304,80,6,2025-08-04 23:06:58,47.633843,74.14896169515443,0.6088108406453789,0.31490215895450635,0.2939086816908726,15,14,1628,1904,302,66,108.53333333333333,75.65788495296148,548,66,136.0,168.22094315003025,548,66,121.79310344827586,129.65481474638852,16810.370986920327,300,280,20,6,1.7012086785714284,10.015781,0.0,3.4994194663976055,47.633836,10.015843,0.0,3.4024168571428564,4.324829203260548,47.633798,10.01583,1.6e-05,3.664138307692307,4.379912128486394,6,2,0,0,4,5,0,8,26,0,0,0.9333333333333333,121.79310344827586,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.53333333333333,136.0,0,15,14,1628,1904
192.168.100.135,192.168.100.122,36310,80,6,2025-08-04 23:06:58,24.436636,73.41436030720432,0.6138324440401699,0.3273773034880906,0.28645514055207927,8,7,842,952,302,66,105.25,75.51614065880221,548,66,136.0,168.22094315003025,548,66,119.6,128.38473429500874,16482.639999999996,160,140,20,3,1.7454739999999995,9.999942,0.0,3.5329382344118327,24.436619,9.999971,0.0,3.4909455714285715,4.344036661928786,24.436592,9.99997,3e-05,4.072765333333334,4.43232967599537,3,1,0,0,2,3,0,4,13,0,0,0.875,119.6,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.25,136.0,0,8,7,842,952
192.168.100.135,192.168.100.122,36318,80,6,2025-08-04 23:06:58,24.452669,73.93875899600162,0.6134299695464737,0.32716265042478593,0.2862673191216877,8,7,856,952,302,66,107.0,75.5926583736807,548,66,136.0,168.22094315003025,548,66,120.53333333333333,128.3073739978425,16462.782222222224,160,140,20,3,1.7466192142857142,9.999938,0.0,3.5328307222140314,24.452645,9.999971,0.0,3.493235,4.34292915452499,24.452623,9.999973,4.2e-05,4.075437166666667,4.430730287974975,3,1,0,0,2,3,0,4,13,0,0,0.875,120.53333333333333,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.0,136.0,0,8,7,856,952
192.168.100.135,192.168.100.122,36320,80,6,2025-08-04 23:06:58,24.442404,74.01072333146936,0.6136875898131787,0.327300047900362,0.28638754191281673,8,7,857,952,302,66,107.125,76.05168883726382,548,66,136.0,168.22094315003025,548,66,120.6,128.44495578521824,16498.106666666667,160,140,20,3,1.745886,9.999931,0.0,3.5311198688052614,24.442366,9.999971,0.0,3.4917665714285713,4.340739597856892,24.442363999999998,9.99997,9e-06,4.073727333333332,4.4284496825112765,3,1,0,0,2,3,0,4,13,0,0,0.875,120.6,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.125,136.0,0,8,7,857,952
192.168.100.135,192.168.100.122,36326,80,6,2025-08-04 23:06:58,24.42944,73.92719603887768,0.6140132561368579,0.3274737366063242,0.28653951953053364,8,7,854,952,302,66,106.75,75.76732475150486,548,66,136.0,168.22094315003025,548,66,120.4,128.37642566556627,16480.506666666664,160,140,20,3,1.7449600000000003,9.999929,0.0,3.5292672904842237,24.429424,9.999971,0.0,3.4899177142857143,4.338481377762688,24.429397,9.999972,2.9e-05,4.071566166666666,4.4261413027427325,3,1,0,0,2,3,0,4,13,0,0,0.875,120.4,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.75,136.0,0,8,7,854,952
192.168.100.135,192.168.100.122,36340,80,6,2025-08-04 23:06:58,24.405383,73.79519510101521,0.6146185044504321,0.3277965357068971,0.286821968743535,8,7,849,952,302,66,106.125,75.27024229401682,548,66,136.0,168.22094315003025,548,66,120.06666666666666,128.2562365821726,16449.662222222225,160,140,20,3,1.7432416428571427,9.999962,0.0,3.5267834531379516,24.405366,9.999969,0.0,3.4864808571428574,4.335812543357652,24.405339,9.999968,3.8e-05,4.067556500000001,4.423600886312973,3,1,0,0,2,3,0,4,13,0,0,0.875,120.06666666666666,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.125,136.0,0,8,7,849,952
