src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.100.135,192.168.100.122,35892,80,6,2025-08-07 03:49:35,20.840466,81.95594090842307,0.7197535794065257,0.3838685756834804,0.3358850037230453,8,7,756,952,221,66,94.5,49.12229636326055,548,66,136.0,168.22094315003025,548,66,113.86666666666666,122.15338263383822,14921.44888888889,160,140,20,3,1.488604714285715,9.999969,0.0,3.449463794848316,20.840451,9.999975,0.0,2.977207285714286,4.400661776715073,20.840461,10.000005,3.9e-05,3.473410166666667,4.568365730558774,3,1,0,0,2,3,0,4,13,0,0,0.875,113.86666666666666,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.5,136.0,0,8,7,756,952
192.168.100.135,192.168.100.122,60082,80,6,2025-08-07 03:48:52,20.691249,82.35365588611882,0.6282849334034887,0.3383072718326477,0.2899776615708409,7,6,818,886,390,66,116.85714285714286,111.64667299940795,548,66,147.66666666666666,179.05833934471997,548,66,131.07692307692307,147.46392598685154,21745.609467455623,140,120,20,2,1.7242707500000003,19.344446,0.0,5.325382386649732,20.691234,19.344462,0.0,3.448539,7.125545850198425,20.691241,19.344452,2.5e-05,4.138248200000001,7.620609284628662,2,1,0,0,2,3,0,3,11,0,0,0.8571428571428571,131.07692307692307,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.85714285714286,147.66666666666666,0,7,6,818,886
192.168.100.135,192.168.100.122,36558,80,6,2025-08-07 03:49:36,24.146235,72.14375243179734,0.6212148602049139,0.3313145921092874,0.2899002680956264,8,7,790,952,221,66,98.75,50.03186484631569,548,66,136.0,168.22094315003025,548,66,116.13333333333334,122.00921640961757,14886.248888888893,160,140,20,3,1.7247310714285715,9.999931,0.0,3.447035929291104,24.146229,9.99996,0.0,3.449461285714285,4.220778945568653,24.146229,9.99998,2.9e-05,4.0243715,4.297725515268541,3,1,0,0,2,3,0,4,13,0,0,0.875,116.13333333333334,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.75,136.0,0,8,7,790,952
192.168.100.135,192.168.100.122,58612,80,6,2025-08-07 03:44:51,20.568713,86.05302626372394,0.7292629344383385,0.3889402317004472,0.3403227027378913,8,7,818,952,302,66,102.25,75.87119018441717,548,66,136.0,168.22094315003025,548,66,118.0,128.68359128757118,16559.466666666667,160,140,20,3,1.4691937857142856,10.000004,0.0,3.36710211761403,20.568707,10.00001,0.0,2.938386714285714,4.284602504769564,20.568703,10.000058,2.4e-05,3.428117166666666,4.44282138913324,3,1,0,0,2,3,0,4,13,0,0,0.875,118.0,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.25,136.0,0,8,7,818,952
192.168.100.135,192.168.100.122,56512,80,6,2025-08-07 03:43:46,20.653305,81.48816860061865,0.6294392108188012,0.3389288058255083,0.2905104049932928,7,6,797,886,346,66,113.85714285714286,95.63088050479536,548,66,147.66666666666666,179.05833934471997,548,66,129.46153846153845,141.44344636889355,20006.24852071006,140,120,20,2,1.72110875,14.221518,0.0,4.16273593659571,20.653289,14.221524,0.0,3.4422148333333333,5.360283940766771,20.653301,14.22154,9e-06,4.1306602,5.624515778798149,2,1,0,0,2,3,0,3,11,0,0,0.8571428571428571,129.46153846153845,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.85714285714286,147.66666666666666,0,7,6,797,886
192.168.100.41,192.168.100.122,36123,80,6,2025-08-07 03:42:12,120.4396,12.130561708939585,0.0996350037695243,0.0664233358463495,0.0332116679231747,8,4,620,841,134,66,77.5,21.67371680169324,635,66,210.25,245.2512742066797,635,66,121.75,155.81619781011216,24278.6875,160,80,20,1,10.949054545454546,120.435009,0.0,34.622498794946765,120.4396,120.435009,0.0,17.20565714285714,42.1432064298643,0.003637,0.002447,0.000104,0.0012123333333333,0.0009606880636062,1,1,0,0,2,4,0,2,9,0,0,0.5,121.75,16120,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.5,210.25,0,8,4,620,841
192.168.100.41,192.168.100.122,35235,80,6,2025-08-07 03:41:36,121.561208,12.01863673483732,0.0987157021341874,0.0658104680894582,0.0329052340447291,8,4,620,841,134,66,77.5,21.67371680169324,635,66,210.25,245.2512742066797,635,66,121.75,155.81619781011216,24278.6875,160,80,20,1,11.05101890909091,121.549839,0.0,34.94279506109969,121.561208,121.549839,0.0,17.365886857142858,42.53292039293069,0.006953,0.003373,0.000356,0.0023176666666666,0.0013884409322049,1,1,0,0,2,4,0,2,9,0,0,0.5,121.75,16120,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.5,210.25,0,8,4,620,841
192.168.100.41,192.168.100.122,36227,80,6,2025-08-07 03:42:16,120.43958,12.130563723320854,0.0996350203147503,0.0664233468765002,0.0332116734382501,8,4,620,841,134,66,77.5,21.67371680169324,635,66,210.25,245.2512742066797,635,66,121.75,155.81619781011216,24278.6875,160,80,20,1,10.949052727272727,120.436556,0.0,34.62298856908002,120.43958,120.436556,0.0,17.205654285714285,42.14383915054508,0.002208,0.001064,0.000119,0.000736,0.0004365753085093,1,1,0,0,2,4,0,2,9,0,0,0.5,121.75,16120,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.5,210.25,0,8,4,620,841
192.168.100.41,192.168.100.122,34776,80,6,2025-08-07 03:41:14,120.484871,12.126003770216096,0.0995975669011589,0.0663983779341059,0.0331991889670529,8,4,620,841,134,66,77.5,21.67371680169324,635,66,210.25,245.2512742066797,635,66,121.75,155.81619781011216,24278.6875,160,80,20,1,10.953170090909092,120.481384,0.0,34.635862403579054,120.484871,120.481384,0.0,17.212124428571432,42.15949868095788,0.0025,0.001361,0.000107,0.0008333333333333,0.000530867424337,1,1,0,0,2,4,0,2,9,0,0,0.5,121.75,16120,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.5,210.25,0,8,4,620,841
192.168.100.41,192.168.100.122,36119,80,6,2025-08-07 03:42:12,120.436451,12.130878881510714,0.0996376088830448,0.0664250725886966,0.0332125362943483,8,4,620,841,134,66,77.5,21.67371680169324,635,66,210.25,245.2512742066797,635,66,121.75,155.81619781011216,24278.6875,160,80,20,1,10.948768272727271,120.432269,0.0,34.62172285577568,120.436451,120.432269,0.0,17.205207285714287,42.14227147963808,0.003244,0.001603,8.8e-05,0.0010813333333333,0.0007026892785735,1,1,0,0,2,4,0,2,9,0,0,0.5,121.75,16120,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.5,210.25,0,8,4,620,841
